               |  auc   |              matrix constructor                  |        classifier          | # features
               | 0.8192 | m007b(cut_bound=13, drop_bound= 7, max_level=10) | LogisticRegression(C=0.13) |    7903
               | 0.8190 | m007b(cut_bound=13, drop_bound=10, max_level=10) | LogisticRegression(C=0.12) |    7538
               | 0.8193 | m007b(cut_bound=13, drop_bound=13, max_level=10) | LogisticRegression(C=0.13) |    7162
               | 0.8180 | m007b(cut_bound=16, drop_bound= 1, max_level=10) | LogisticRegression(C=0.11) |    9041
               | 0.8188 | m007b(cut_bound=16, drop_bound= 3, max_level=10) | LogisticRegression(C=0.12) |    7429
               | 0.8191 | m007b(cut_bound=16, drop_bound= 5, max_level=10) | LogisticRegression(C=0.12) |    6988
               | 0.8189 | m007b(cut_bound=16, drop_bound= 7, max_level=10) | LogisticRegression(C=0.11) |    6704
               | 0.8188 | m007b(cut_bound=16, drop_bound=10, max_level=10) | LogisticRegression(C=0.11) |    6386
               | 0.8191 | m007b(cut_bound=16, drop_bound=13, max_level=10) | LogisticRegression(C=0.10) |    6112
               | 0.8193 | m007b(cut_bound=16, drop_bound=16, max_level=10) | LogisticRegression(C=0.10) |    5844
               | 0.8218 | m007b(cut_bound=19, drop_bound= 1, max_level=10) | LogisticRegression(C=0.11) |    8167
               | 0.8220 | m007b(cut_bound=19, drop_bound= 3, max_level=10) | LogisticRegression(C=0.11) |    6562
               | 0.8223 | m007b(cut_bound=19, drop_bound= 5, max_level=10) | LogisticRegression(C=0.12) |    6126
               | 0.8218 | m007b(cut_bound=19, drop_bound= 7, max_level=10) | LogisticRegression(C=0.12) |    5856
               | 0.8218 | m007b(cut_bound=19, drop_bound=10, max_level=10) | LogisticRegression(C=0.12) |    5569
               | 0.8224 | m007b(cut_bound=19, drop_bound=13, max_level=10) | LogisticRegression(C=0.11) |    5329
               | 0.8225 | m007b(cut_bound=19, drop_bound=16, max_level=10) | LogisticRegression(C=0.12) |    5152
               | 0.8214 | m007b(cut_bound=19, drop_bound=19, max_level=10) | LogisticRegression(C=0.12) |    4962
               | 0.8229 | m007b(cut_bound=20, drop_bound= 1, max_level=10) | LogisticRegression(C=0.10) |    7903
               | 0.8234 | m007b(cut_bound=20, drop_bound= 3, max_level=10) | LogisticRegression(C=0.10) |    6296
               | 0.8234 | m007b(cut_bound=20, drop_bound= 5, max_level=10) | LogisticRegression(C=0.11) |    5863
               | 0.8231 | m007b(cut_bound=20, drop_bound= 7, max_level=10) | LogisticRegression(C=0.11) |    5598
               | 0.8233 | m007b(cut_bound=20, drop_bound=10, max_level=10) | LogisticRegression(C=0.11) |    5326
               | 0.8239 | m007b(cut_bound=20, drop_bound=13, max_level=10) | LogisticRegression(C=0.11) |    5097
               | 0.8238 | m007b(cut_bound=20, drop_bound=16, max_level=10) | LogisticRegression(C=0.11) |    4939
               | 0.8223 | m007b(cut_bound=20, drop_bound=19, max_level=10) | LogisticRegression(C=0.11) |    4787
               | 0.8225 | m007b(cut_bound=20, drop_bound=20, max_level=10) | LogisticRegression(C=0.11) |    4716
               | 0.8203 | m007b(cut_bound=30, drop_bound= 1, max_level=10) | LogisticRegression(C=0.09) |    6283
               | 0.8206 | m007b(cut_bound=30, drop_bound= 3, max_level=10) | LogisticRegression(C=0.09) |    4689
               | 0.8206 | m007b(cut_bound=30, drop_bound= 5, max_level=10) | LogisticRegression(C=0.09) |    4271
               | 0.8206 | m007b(cut_bound=30, drop_bound= 7, max_level=10) | LogisticRegression(C=0.09) |    4030
               | 0.8208 | m007b(cut_bound=30, drop_bound=10, max_level=10) | LogisticRegression(C=0.10) |    3798
               | 0.8211 | m007b(cut_bound=30, drop_bound=13, max_level=10) | LogisticRegression(C=0.10) |    3614
               | 0.8209 | m007b(cut_bound=30, drop_bound=16, max_level=10) | LogisticRegression(C=0.10) |    3488
               | 0.8202 | m007b(cut_bound=30, drop_bound=19, max_level=10) | LogisticRegression(C=0.10) |    3401
               | 0.8205 | m007b(cut_bound=30, drop_bound=20, max_level=10) | LogisticRegression(C=0.10) |    3372
               | 0.8215 | m007b(cut_bound=30, drop_bound=30, max_level=10) | LogisticRegression(C=0.10) |    3087

  income_high  | 0.6679 | m007b(cut_bound= 5, drop_bound= 1, max_level=10) | LogisticRegression(C=0.02) |   17199
               | 0.6679 | m007b(cut_bound= 5, drop_bound= 3, max_level=10) | LogisticRegression(C=0.02) |   15593
               | 0.6682 | m007b(cut_bound= 5, drop_bound= 5, max_level=10) | LogisticRegression(C=0.02) |   14735
               | 0.6659 | m007b(cut_bound= 7, drop_bound= 1, max_level=10) | LogisticRegression(C=0.02) |   13413
               | 0.6658 | m007b(cut_bound= 7, drop_bound= 3, max_level=10) | LogisticRegression(C=0.02) |   11891
               | 0.6661 | m007b(cut_bound= 7, drop_bound= 5, max_level=10) | LogisticRegression(C=0.02) |   11318
               | 0.6662 | m007b(cut_bound= 7, drop_bound= 7, max_level=10) | LogisticRegression(C=0.02) |   10779
               | 0.6679 | m007b(cut_bound=10, drop_bound= 1, max_level=10) | LogisticRegression(C=0.02) |   10362
               | 0.6678 | m007b(cut_bound=10, drop_bound= 3, max_level=10) | LogisticRegression(C=0.02) |    8892
               | 0.6676 | m007b(cut_bound=10, drop_bound= 5, max_level=10) | LogisticRegression(C=0.02) |    8415
               | 0.6677 | m007b(cut_bound=10, drop_bound= 7, max_level=10) | LogisticRegression(C=0.02) |    8085
               | 0.6679 | m007b(cut_bound=10, drop_bound=10, max_level=10) | LogisticRegression(C=0.02) |    7610
               | 0.6646 | m007b(cut_bound=13, drop_bound= 1, max_level=10) | LogisticRegression(C=0.02) |    8751
               | 0.6647 | m007b(cut_bound=13, drop_bound= 3, max_level=10) | LogisticRegression(C=0.02) |    7298
               | 0.6645 | m007b(cut_bound=13, drop_bound= 5, max_level=10) | LogisticRegression(C=0.02) |    6867
               | 0.6643 | m007b(cut_bound=13, drop_bound= 7, max_level=10) | LogisticRegression(C=0.02) |    6584
               | 0.6651 | m007b(cut_bound=13, drop_bound=10, max_level=10) | LogisticRegression(C=0.02) |    6257
               | 0.6646 | m007b(cut_bound=13, drop_bound=13, max_level=10) | LogisticRegression(C=0.02) |    5947
               | 0.6651 | m007b(cut_bound=16, drop_bound= 1, max_level=10) | LogisticRegression(C=0.02) |    7653
               | 0.6651 | m007b(cut_bound=16, drop_bound= 3, max_level=10) | LogisticRegression(C=0.02) |    6213
               | 0.6649 | m007b(cut_bound=16, drop_bound= 5, max_level=10) | LogisticRegression(C=0.02) |    5812
               | 0.6646 | m007b(cut_bound=16, drop_bound= 7, max_level=10) | LogisticRegression(C=0.02) |    5542
               | 0.6648 | m007b(cut_bound=16, drop_bound=10, max_level=10) | LogisticRegression(C=0.02) |    5258
               | 0.6641 | m007b(cut_bound=16, drop_bound=13, max_level=10) | LogisticRegression(C=0.02) |    5045
